zip,population,city,county,state
78374,17972,Portland,San Patricio,TX
79415,17894,Lubbock,Lubbock,TX
79414,17806,Lubbock,Lubbock,TX
76015,17773,Arlington,Tarrant,TX
78219,17705,San Antonio,Bexar,TX
78644,17675,Lockhart,Caldwell,TX
76104,17653,Fort Worth,Tarrant,TX
77051,17547,Houston,Harris,TX
77059,17483,Houston,Harris,TX
77029,17478,Houston,Harris,TX
75402,17463,Greenville,Hunt,TX
75751,17356,Athens,Henderson,TX
77979,17295,Port Lavaca,Calhoun,TX
78015,17187,Boerne,Bexar,TX
75215,17184,Dallas,Dallas,TX
77437,17177,El Campo,Wharton,TX
77587,17162,South Houston,Harris,TX
78220,17095,San Antonio,Bexar,TX
77031,17079,Houston,Harris,TX
77002,17026,Houston,Harris,TX
79765,17017,Odessa,Ector,TX
76501,16922,Temple,Bell,TX
75233,16920,Dallas,Dallas,TX
75236,16920,Dallas,Dallas,TX
78404,16852,Corpus Christi,Nueces,TX
76103,16848,Fort Worth,Tarrant,TX
77328,16832,Cleveland,Liberty,TX
79336,16827,Levelland,Hockley,TX
79360,16760,Seminole,Gaines,TX
75409,16750,Anna,Collin,TX
77656,16744,Silsbee,Hardin,TX
78064,16722,Pleasanton,Atascosa,TX
77568,16676,La Marque,Galveston,TX
75057,16670,Lewisville,Denton,TX
76118,16594,Fort Worth,Tarrant,TX
76266,16571,Sanger,Denton,TX
77640,16549,Port Arthur,Jefferson,TX
78261,16518,San Antonio,Bexar,TX
75672,16480,Marshall,Harrison,TX
77531,16352,Clute,Brazoria,TX
79403,16348,Lubbock,Lubbock,TX
77447,16309,Hockley,Harris,TX
78612,16234,Cedar Creek,Bastrop,TX
77575,16209,Liberty,Liberty,TX
77306,16203,Conroe,Montgomery,TX
75951,16154,Jasper,Jasper,TX
78751,16138,Austin,Travis,TX
77378,16134,Willis,Montgomery,TX
75652,16078,Henderson,Rusk,TX
77058,15930,Houston,Harris,TX
75474,15912,Quinlan,Hunt,TX
75801,15808,Palestine,Anderson,TX
78416,15804,Corpus Christi,Nueces,TX
76306,15726,Wichita Falls,Wichita,TX
79549,15708,Snyder,Scurry,TX
79412,15597,Lubbock,Lubbock,TX
76707,15595,Waco,Mclennan,TX
78070,15537,Spring Branch,Comal,TX
77619,15531,Groves,Jefferson,TX
77098,15487,Houston,Harris,TX
77372,15484,Splendora,Montgomery,TX
75961,15447,Nacogdoches,Nacogdoches,TX
79903,15422,El Paso,El Paso,TX
75001,15418,Addison,Dallas,TX
75103,15358,Canton,Van Zandt,TX
79029,15349,Dumas,Moore,TX
75009,15348,Celina,Collin,TX
77905,15279,Victoria,Victoria,TX
75601,15256,Longview,Gregg,TX
77510,15223,Santa Fe,Galveston,TX
78225,15147,San Antonio,Bexar,TX
76301,15113,Wichita Falls,Wichita,TX
78738,15090,Austin,Travis,TX
78255,15064,San Antonio,Bexar,TX
75223,15002,Dallas,Dallas,TX
77591,14926,Texas City,Galveston,TX
77801,14853,Bryan,Brazos,TX
