zip,population,city,county,state
72629,475,Dennard,Van Buren,AR
72456,473,Pollard,Clay,AR
72640,469,Hasty,Newton,AR
72677,467,Summit,Marion,AR
72839,465,Hagarville,Johnson,AR
72359,437,Madison,St. Francis,AR
72421,435,Cash,Craighead,AR
72431,435,Grubbs,Jackson,AR
72412,434,Beech Grove,Greene,AR
72134,423,Roe,Monroe,AR
72389,417,Wabash,Phillips,AR
71847,417,Mc Caskill,Hempstead,AR
72175,409,Wabbaseka,Jefferson,AR
72683,408,Vendor,Newton,AR
71661,406,Parkdale,Ashley,AR
71724,404,Calion,Union,AR
72856,401,Pelsor,Pope,AR
72140,399,Saint Charles,Arkansas,AR
72721,398,Combs,Madison,AR
72462,398,Reyno,Randolph,AR
72017,398,Biscoe,Prairie,AR
72522,391,Charlotte,Independence,AR
72394,389,Widener,St. Francis,AR
72179,365,Wilburn,Cleburne,AR
72524,362,Cord,Independence,AR
72072,357,Humnoke,Lonoke,AR
72617,356,Big Flat,Baxter,AR
71745,347,Harrell,Calhoun,AR
72123,346,Patterson,Woodruff,AR
72430,345,Greenway,Clay,AR
72026,331,Casscoe,Arkansas,AR
72156,326,Solgohachia,Conway,AR
72655,324,Mount Judea,Newton,AR
72414,318,Black Oak,Craighead,AR
72945,314,Midland,Sebastian,AR
72427,313,Egypt,Craighead,AR
72752,313,Pettigrew,Madison,AR
71855,310,Ozan,Hempstead,AR
72584,308,Violet Hill,Izard,AR
72425,299,Delaplaine,Greene,AR
71965,296,Pencil Bluff,Montgomery,AR
72760,294,St. Paul,Madison,AR
72571,294,Rosie,Independence,AR
72747,293,Maysville,Benton,AR
72467,290,State University,Craighead,AR
72520,283,Camp,Fulton,AR
71853,280,Ogden,Little River,AR
72841,277,Harvey,Scott,AR
72440,270,Lynn,Lawrence,AR
71725,268,Carthage,Dallas,AR
72139,268,Russell,White,AR
72533,266,Fifty Six,Stone,AR
72567,265,Pleasant Grove,Stone,AR
72630,265,Diamond City,Boone,AR
72860,261,Rover,Yell,AR
72170,260,Ulm,Prairie,AR
72573,255,Sage,Izard,AR
72449,252,O Kean,Randolph,AR
71969,252,Sims,Montgomery,AR
72341,252,Haynes,Lee,AR
71839,250,Garland City,Lafayette,AR
72564,246,Oil Trough,Independence,AR
72085,245,Letona,White,AR
72339,238,Gilmore,Crittenden,AR
72572,227,Saffell,Lawrence,AR
72080,218,Jerusalem,Conway,AR
72827,218,Bluffton,Yell,AR
72478,216,Warm Springs,Randolph,AR
72539,209,Glencoe,Fulton,AR
72585,208,Wideman,Izard,AR
72517,207,Brockwell,Izard,AR
72555,204,Marcella,Stone,AR
72546,202,Ida,Cleburne,AR
