,zip,population,city,county,state,latitude,longitude
301,72675,1396,Saint Joe,Searcy,AR,36.000216,-92.800216
302,72041,1358,De Valls Bluff,Prairie,AR,34.721785,-91.467356
303,72685,1356,Western Grove,Newton,AR,36.064122,-92.98553
304,72768,1330,Sulphur Springs,Benton,AR,36.478322,-94.498595
305,71956,1325,Mountain Pine,Garland,AR,34.598636,-93.153438
306,72865,1321,Subiaco,Logan,AR,35.311129,-93.577173
307,72157,1316,Springfield,Conway,AR,35.271247,-92.556658
308,72482,1308,Williford,Sharp,AR,36.277559,-91.367518
309,71933,1304,Bonnerdale,Hot Spring,AR,34.439307,-93.342843
310,72111,1277,Mount Vernon,Faulkner,AR,35.238551,-92.131305
311,72658,1273,Norfork,Baxter,AR,36.159705,-92.327173
312,72459,1242,Ravenden,Lawrence,AR,36.292523,-91.292989
313,71652,1236,Kingsland,Cleveland,AR,33.932638,-92.333039
314,71961,1211,Oden,Montgomery,AR,34.600315,-93.83836
315,72084,1206,Leola,Grant,AR,34.143958,-92.667512
316,72938,1195,Hartford,Sebastian,AR,35.004118,-94.377819
317,72368,1192,Moro,Lee,AR,34.810402,-91.023371
318,71826,1190,Bradley,Lafayette,AR,33.09254,-93.723219
319,71949,1186,Jessieville,Garland,AR,34.699085,-93.220798
320,72531,1176,Elizabeth,Fulton,AR,36.33023,-92.139824
321,72069,1172,Holly Grove,Monroe,AR,34.53214,-91.137845
322,72395,1171,Wilson,Mississippi,AR,35.59309,-90.081246
323,72530,1157,Drasco,Cleburne,AR,35.603916,-91.94472
324,72129,1146,Prattsville,Grant,AR,34.325635,-92.542736
325,72581,1126,Tumbling Shoals,Cleburne,AR,35.550954,-91.989243
326,72044,1114,Edgemont,Cleburne,AR,35.660028,-92.164976
327,71670,1077,Tillar,Desha,AR,33.716086,-91.390919
328,72523,1076,Concord,Cleburne,AR,35.627793,-91.844656
329,71747,1053,Huttig,Union,AR,33.060731,-92.202891
330,71643,1023,Gould,Lincoln,AR,34.016891,-91.576497
331,72651,1015,Midway,Baxter,AR,36.388396,-92.482359
332,72717,1014,Canehill,Washington,AR,35.835094,-94.408423
333,72350,1006,Joiner,Mississippi,AR,35.499753,-90.129287
334,72842,1005,Havana,Yell,AR,35.08236,-93.617487
335,72934,999,Chester,Crawford,AR,35.686804,-94.284334
336,71962,994,Okolona,Clark,AR,34.036195,-93.322745
337,72832,991,Coal Hill,Johnson,AR,35.41474,-93.670516
338,71835,980,Emmet,Nevada,AR,33.644014,-93.429182
339,72623,978,Clarkridge,Baxter,AR,36.447646,-92.32079
340,71726,977,Chidester,Ouachita,AR,33.672341,-92.986057
341,72373,949,Parkin,Cross,AR,35.308676,-90.594228
342,71841,943,Gillham,Sevier,AR,34.161996,-94.339512
343,72532,937,Evening Shade,Sharp,AR,36.103956,-91.600598
344,72628,933,Deer,Newton,AR,35.839875,-93.281762
345,72384,909,Turrell,Crittenden,AR,35.375795,-90.219489
346,72079,905,Jefferson,Jefferson,AR,34.390546,-92.173539
347,71660,901,New Edinburg,Cleveland,AR,33.758739,-92.202721
348,71838,893,Fulton,Hempstead,AR,33.652497,-93.812294
349,72469,892,Strawberry,Lawrence,AR,35.951824,-91.289073
350,72680,892,Timbo,Stone,AR,35.887327,-92.329526
351,72854,887,Ozone,Johnson,AR,35.718188,-93.423184
352,72004,886,Altheimer,Jefferson,AR,34.282786,-91.77931
353,72537,885,Gamaliel,Baxter,AR,36.446131,-92.222556
354,71751,883,Louann,Ouachita,AR,33.411484,-92.76026
355,71827,881,Buckner,Lafayette,AR,33.425189,-93.396517
356,72436,881,Lafe,Greene,AR,36.235784,-90.485057
357,72125,867,Perry,Perry,AR,35.066192,-92.790669
358,72544,865,Henderson,Baxter,AR,36.403646,-92.189682
359,72351,860,Keiser,Mississippi,AR,35.673714,-90.0964
360,72538,858,Gepp,Fulton,AR,36.445567,-92.100292
361,72951,837,Ratcliff,Logan,AR,35.327345,-93.872128
362,72003,834,Almyra,Arkansas,AR,34.382529,-91.390261
363,72073,833,Humphrey,Jefferson,AR,34.381138,-91.669076
364,72742,825,Kingston,Madison,AR,35.963804,-93.50124
365,72550,820,Locust Grove,Independence,AR,35.710126,-91.783974
366,71944,814,Grannis,Polk,AR,34.242824,-94.332769
367,72128,814,Poyen,Grant,AR,34.313077,-92.621441
368,72055,811,Gillett,Arkansas,AR,34.098693,-91.35419
369,72845,800,Knoxville,Johnson,AR,35.36165,-93.377876
370,72928,797,Branch,Franklin,AR,35.291336,-93.930613
371,72660,796,Oak Grove,Carroll,AR,36.478646,-93.377872
372,72835,793,Delaware,Logan,AR,35.277805,-93.346311
373,71766,786,Thornton,Calhoun,AR,33.725131,-92.506653
374,72565,781,Oxford,Izard,AR,36.217416,-91.912766
375,72955,778,Uniontown,Crawford,AR,35.614175,-94.437781
376,71759,768,Norphlet,Union,AR,33.320987,-92.644185
377,72347,766,Hickory Ridge,Cross,AR,35.377743,-91.014418
378,71959,746,Newhope,Pike,AR,34.243165,-93.931584
379,71658,745,Montrose,Ashley,AR,33.315968,-91.562057
380,72001,741,Adona,Perry,AR,35.058351,-92.885846
381,71950,739,Kirby,Pike,AR,34.256518,-93.717836
382,72527,731,Desha,Independence,AR,35.739859,-91.684984
383,72926,724,Boles,Scott,AR,34.732436,-94.036964
384,72639,720,Harriet,Searcy,AR,36.015321,-92.480229
385,71970,714,Story,Montgomery,AR,34.668934,-93.489154
386,72577,705,Sidney,Sharp,AR,36.027133,-91.713924
387,71862,701,Washington,Hempstead,AR,33.779653,-93.728054
388,72346,694,Heth,St. Francis,AR,35.082326,-90.48449
389,72776,687,Witter,Madison,AR,35.921488,-93.649644
390,72561,686,Mount Pleasant,Izard,AR,35.949063,-91.807728
391,72099,685,Little Rock Air Force Base,Pulaski,AR,34.899278,-92.141459
392,72950,677,Parks,Scott,AR,34.776041,-93.888006
393,72569,674,Poughkeepsie,Sharp,AR,36.146178,-91.399363
394,72566,668,Pineville,Izard,AR,36.21676,-92.078015
395,71752,665,Mc Neil,Columbia,AR,33.391416,-93.191768
396,72392,664,Wheatley,St. Francis,AR,34.965598,-91.100606
397,71642,659,Fountain Hill,Ashley,AR,33.387396,-91.887479
398,72025,656,Casa,Perry,AR,35.052328,-92.999375
399,72047,655,Enola,Faulkner,AR,35.223782,-92.210687
400,72051,646,Fox,Stone,AR,35.786051,-92.321011
401,72036,630,Cotton Plant,Woodruff,AR,35.011116,-91.273098
402,72060,629,Griffithville,White,AR,35.073708,-91.599008
403,72122,625,Paron,Saline,AR,34.777884,-92.808357
404,71859,617,Saratoga,Howard,AR,33.744439,-93.910186
405,72374,609,Poplar Grove,Phillips,AR,34.566337,-90.833499
406,72661,602,Oakland,Marion,AR,36.437506,-92.5787
407,72330,591,Dyess,Mississippi,AR,35.587792,-90.210309
408,72458,590,Powhatan,Lawrence,AR,36.072601,-91.158549
409,71999,589,Arkadelphia,Clark,AR,34.127458,-93.059067
410,72460,588,Ravenden Springs,Randolph,AR,36.349823,-91.169303
411,72141,588,Scotland,Van Buren,AR,35.513306,-92.672187
412,71674,579,Watson,Desha,AR,33.837003,-91.175206
413,71676,569,Wilmot,Ashley,AR,33.052182,-91.567642
414,72648,568,Marble Falls,Newton,AR,36.087809,-93.162053
415,71663,560,Portland,Ashley,AR,33.226443,-91.429483
416,71971,554,Umpire,Howard,AR,34.304022,-94.034257
417,71866,549,Winthrop,Little River,AR,33.877497,-94.406484
418,72413,548,Biggers,Randolph,AR,36.30183,-90.822219
419,71631,547,Banks,Bradley,AR,33.580025,-92.264958
420,72130,541,Prim,Cleburne,AR,35.661399,-92.056438
421,71998,522,Arkadelphia,Clark,AR,34.126385,-93.055286
422,72435,516,Knobel,Clay,AR,36.315759,-90.5791
423,72030,514,Cleveland,Conway,AR,35.427088,-92.675908
424,71630,513,Arkansas City,Desha,AR,33.620304,-91.207069
425,72152,512,Sherrill,Jefferson,AR,34.356114,-91.979332
426,72749,512,Morrow,Washington,AR,35.868416,-94.437597
427,72739,508,Hiwasse,Benton,AR,36.423561,-94.327702
428,72068,498,Higginson,White,AR,35.190308,-91.710763
429,72851,495,New Blaine,Logan,AR,35.255427,-93.438111
430,72935,495,Dyer,Crawford,AR,35.491333,-94.12648
