zip,population,city,county,state
30415,6272,Brooklet,Bulloch,GA
30802,6243,Appling,Columbia,GA
30220,6216,Grantville,Coweta,GA
31811,6204,Hamilton,Harris,GA
31822,6166,Pine Mountain,Harris,GA
30113,6152,Buchanan,Haralson,GA
31804,6151,Cataula,Harris,GA
31901,6150,Columbus,Muscogee,GA
31305,6039,Darien,Mcintosh,GA
30543,5939,Gillsville,Hall,GA
30002,5902,Avondale Estates,Dekalb,GA
30147,5901,Lindale,Floyd,GA
31569,5814,Woodbine,Camden,GA
30621,5794,Bishop,Oconee,GA
30457,5697,Soperton,Treutlen,GA
30173,5679,Silver Creek,Floyd,GA
31714,5644,Ashburn,Turner,GA
30292,5631,Williamson,Pike,GA
30104,5552,Aragon,Polk,GA
30175,5526,Talking Rock,Pickens,GA
31816,5510,Manchester,Meriwether,GA
30520,5418,Canon,Franklin,GA
31803,5367,Buena Vista,Marion,GA
30558,5240,Maysville,Banks,GA
30411,5205,Alamo,Wheeler,GA
31634,5179,Homerville,Clinch,GA
31806,5135,Ellaville,Schley,GA
30557,5112,Martin,Stephens,GA
30434,5017,Louisville,Jefferson,GA
30346,5008,Atlanta,Dekalb,GA
31063,4954,Montezuma,Macon,GA
31068,4950,Oglethorpe,Macon,GA
31645,4904,Ray City,Berrien,GA
30629,4817,Comer,Madison,GA
30559,4751,Mineral Bluff,Fannin,GA
30295,4750,Zebulon,Pike,GA
30565,4731,Nicholson,Jackson,GA
30725,4731,Flintstone,Walker,GA
30582,4706,Young Harris,Towns,GA
30521,4683,Carnesville,Franklin,GA
31642,4676,Pearson,Atkinson,GA
31566,4638,Waynesville,Brantley,GA
30185,4578,Whitesburg,Carroll,GA
30808,4561,Dearing,Mcduffie,GA
31543,4549,Hortense,Brantley,GA
30560,4544,Morganton,Fannin,GA
31006,4523,Butler,Taylor,GA
31553,4520,Nahunta,Brantley,GA
30471,4490,Twin City,Emanuel,GA
31091,4347,Unadilla,Dooly,GA
31001,4323,Abbeville,Wilcox,GA
31773,4245,Ochlocknee,Thomas,GA
